CountryID,CustomerID,Gender,Country,City,District,Type,Color,Date,Direction,Price,Paid,Rest,SalesType,Profits,ProductID,Month,Year,Combination
sy,1,Female,Syria,Aleppo,Jebel Saman,LENOVO,Pink,8/19/2020,South,749,700,49,Cash Less,187,pr1,8,2020,LENOVO Pink
sy,2,Male,Syria,Aleppo,Jebel Saman,HP,Black,1/14/2019,East,613,500,113,Cash Less,153,pr29,1,2019,HP Black
sy,3,Male,Syria,Aleppo,Jebel Saman,DELL,Blue,6/10/2020,South,798,700,98,Cash Less,200,pr23,6,2020,DELL Blue
sy,4,Male,Syria,Aleppo,Jebel Saman,ACER,Silver,1/7/2020,West,776,700,76,Cash Less,194,pr6,1,2020,ACER Silver
sy,5,Male,Syria,Aleppo,Al Bab,ASUS,Silver,9/10/2019,North,812,700,112,Cash Less,203,pr16,9,2019,ASUS Silver
sy,6,Female,Syria,Aleppo,Al Bab,MICROSOFT,Blue,6/8/2020,North,694,600,94,Cash Less,174,pr33,6,2020,MICROSOFT Blue
sy,7,Female,Syria,Aleppo,Al Bab,APPLE,Blue,11/22/2020,EAST,544,544,0,Cash,136,pr13,11,2020,APPLE Blue
sy,8,Female,Syria,Aleppo,Al Bab,DELL,Red,11/13/2020,EAST,503,503,0,Cash,126,pr21,11,2020,DELL Red
sy,9,Male,Syria,Aleppo,Al Bab,HP,Pink,11/27/2019,EAST,653,653,0,Cash,163,pr27,11,2019,HP Pink
sy,10,Male,Syria,Aleppo,Al Bab,SAMSUNG,Blue,11/10/2020,EAST,567,567,0,Cash,142,pr38,11,2020,SAMSUNG Blue
sy,11,Male,Syria,Aleppo,Afrin,LENOVO,Black,11/3/2019,North,671,671,0,Cash,168,pr3,11,2019,LENOVO Black
sy,12,Male,Syria,Aleppo,Afrin,HP,Black,1/20/2019,North,821,700,121,Cash Less,205,pr29,1,2019,HP Black
sy,13,Female,Syria,Aleppo,Afrin,DELL,Black,2/11/2019,EAST,891,600,291,Cash Less,223,pr22,2,2019,DELL Black
sy,14,Male,Syria,Aleppo,Afrin,ACER,Silver,1/7/2020,North,612,500,112,Cash Less,153,pr6,1,2020,ACER Silver
sy,15,Female,Syria,Aleppo,Afrin,ASUS,Black,8/7/2019,North,655,655,0,Cash,164,pr19,8,2019,ASUS Black
sy,16,Female,Syria,Aleppo,Afrin,MICROSOFT,Black,4/11/2019,EAST,700,600,100,Cash Less,175,pr32,4,2019,MICROSOFT Black
sy,17,Male,Syria,Aleppo,Afrin,APPLE,Black,9/27/2020,WEST,654,654,0,Cash,164,pr12,9,2020,APPLE Black
sy,18,Female,Syria,Aleppo,Afrin,DELL,Blue,8/30/2019,EAST,701,600,101,Cash Less,175,pr23,8,2019,DELL Blue
sy,19,Female,Syria,Aleppo,Afrin,HP,Silver,10/29/2019,South,646,646,0,Cash,162,pr26,10,2019,HP Silver
sy,20,Female,Syria,Aleppo,Afrin,SAMSUNG,Silver,3/4/2019,South,678,678,0,Cash,170,pr36,3,2019,SAMSUNG Silver
sy,21,Female,Syria,Aleppo,Afrin,LENOVO,Red,3/31/2019,EAST,764,700,64,Cash Less,191,pr4,3,2019,LENOVO Red
sy,22,Female,Syria,Aleppo,Afrin,HP,Blue,3/23/2019,EAST,880,700,180,Cash Less,220,pr28,3,2019,HP Blue
sy,23,Male,Syria,Aleppo,Afrin,DELL,Blue,2/15/2020,North,740,600,140,Cash Less,185,pr23,2,2020,DELL Blue
sy,24,Male,Syria,Aleppo,Afrin,ACER,Black,2/10/2019,EAST,543,543,0,Cash,136,pr7,2,2019,ACER Black
sy,25,Female,Syria,Aleppo,Afrin,ASUS,Black,4/25/2020,WEST,613,500,113,Cash Less,153,pr19,4,2020,ASUS Black
sy,26,Female,Syria,Aleppo,Afrin,MICROSOFT,Red,7/30/2020,South,835,700,135,Cash Less,209,pr31,7,2020,MICROSOFT Red
sy,27,Male,Syria,Aleppo,Afrin,APPLE,Pink,3/5/2020,South,544,544,0,Cash,136,pr14,3,2020,APPLE Pink
sy,28,Male,Syria,Aleppo,Afrin,DELL,Pink,4/12/2019,South,781,700,81,Cash Less,195,pr24,4,2019,DELL Pink
sy,29,Male,Syria,Aleppo,A'zaz,HP,Black,1/11/2019,EAST,669,669,0,Cash,167,pr29,1,2019,HP Black
sy,30,Male,Syria,Aleppo,A'zaz,SAMSUNG,Red,1/7/2020,EAST,819,700,119,Cash Less,205,pr40,1,2020,SAMSUNG Red
sy,31,Male,Syria,Aleppo,A'zaz,APPLE,Silver,12/6/2020,South,519,519,0,Cash,130,pr15,12,2020,APPLE Silver
sy,32,Male,Syria,Aleppo,A'zaz,DELL,Blue,10/11/2019,South,864,700,164,Cash Less,216,pr23,10,2019,DELL Blue
sy,33,Male,Syria,Aleppo,A'zaz,HP,Pink,7/16/2019,North,527,527,0,Cash,132,pr27,7,2019,HP Pink
sy,34,Male,Syria,Aleppo,A'zaz,SAMSUNG,Red,10/19/2020,EAST,864,700,164,Cash Less,216,pr40,10,2020,SAMSUNG Red
sy,35,Female,Syria,Aleppo,A'zaz,LENOVO,Pink,3/26/2019,North,534,534,0,Cash,134,pr1,3,2019,LENOVO Pink
sy,36,Male,Syria,Aleppo,A'zaz,HP,Silver,9/13/2019,WEST,644,644,0,Cash,161,pr26,9,2019,HP Silver
sy,37,Female,Syria,Aleppo,A'zaz,DELL,Silver,11/21/2019,EAST,544,544,0,Cash,136,pr25,11,2019,DELL Silver
sy,38,Female,Syria,Aleppo,A'zaz,ACER,Black,7/29/2019,EAST,623,500,123,Cash Less,156,pr7,7,2019,ACER Black
sy,39,Female,Syria,Aleppo,A'zaz,ASUS,Red,11/4/2019,North,739,600,139,Cash Less,185,pr20,11,2019,ASUS Red
sy,40,Female,Syria,Aleppo,A'zaz,MICROSOFT,Blue,10/31/2020,North,823,700,123,Cash Less,206,pr33,10,2020,MICROSOFT Blue
sy,41,Female,Syria,Aleppo,A'zaz,APPLE,Silver,1/21/2019,WEST,587,500,87,Cash Less,147,pr15,1,2019,APPLE Silver
sy,42,Female,Syria,Aleppo,A'zaz,DELL,Blue,7/18/2020,South,677,677,0,Cash,169,pr23,7,2020,DELL Blue
sy,43,Female,Syria,Aleppo,A'zaz,LENOVO,Black,3/6/2019,EAST,851,700,151,Cash Less,213,pr3,3,2019,LENOVO Black
sy,44,Male,Syria,Aleppo,A'zaz,HP,Red,12/6/2019,North,626,500,126,Cash Less,157,pr30,12,2019,HP Red
sy,45,Female,Syria,Aleppo,A'zaz,DELL,Blue,1/18/2020,EAST,654,654,0,Cash,164,pr23,1,2020,DELL Blue
sy,46,Female,Syria,Aleppo,A'zaz,ACER,Blue,11/7/2020,South,845,700,145,Cash Less,211,pr8,11,2020,ACER Blue
sy,47,Female,Syria,Aleppo,A'zaz,ASUS,Black,8/14/2019,WEST,674,674,0,Cash,169,pr19,8,2019,ASUS Black
sy,48,Female,Syria,Aleppo,A'zaz,MICROSOFT,Blue,7/27/2020,North,701,600,101,Cash Less,175,pr33,7,2020,MICROSOFT Blue
sy,49,Male,Syria,Aleppo,A'zaz,APPLE,Black,7/18/2020,EAST,752,700,52,Cash Less,188,pr12,7,2020,APPLE Black
sy,50,Male,Syria,Aleppo,A'zaz,DELL,Pink,8/20/2020,North,878,700,178,Cash Less,220,pr24,8,2020,DELL Pink
sy,51,Female,Syria,Aleppo,A'zaz,HP,Blue,4/16/2020,South,833,700,133,Cash Less,208,pr28,4,2020,HP Blue
sy,52,Male,Syria,Aleppo,A'zaz,SAMSUNG,Blue,10/19/2020,South,764,700,64,Cash Less,191,pr38,10,2020,SAMSUNG Blue
sy,53,Female,Syria,Aleppo,A'zaz,LENOVO,Black,4/30/2020,WEST,801,700,101,Cash Less,200,pr3,4,2020,LENOVO Black
sy,54,Male,Syria,Aleppo,A'zaz,HP,Red,5/17/2020,South,517,517,0,Cash,129,pr30,5,2020,HP Red
sy,55,Female,Syria,Aleppo,A'zaz,DELL,Red,12/30/2019,WEST,758,700,58,Cash Less,190,pr21,12,2019,DELL Red
